school,state,weirdreason
"California Polytechnic State University, San Luis Obispo (Cal Poly San Luis Obispo or Cal Poly SLO)",CA,
"California State University, San Marcos (CSUSM)",CA,
Sonoma State University (SSU),CA,
"California State University, Stanislaus (Stan State)",CA,
Adams State University,CO,
University of Colorado Boulder (Colorado or CU),CO,
University of Colorado Colorado Springs (CU-Colorado Springs),CO,
University of Colorado Denver (CU-Denver),CO,
Colorado Mesa University,CO,
Colorado School of Mines,CO,
Colorado State University (Colorado State),CO,
Colorado State University–Pueblo (CSU-Pueblo),CO,
CSU–Global Campus (CSU–Global),CO,online only
Fort Lewis College,CO,
Metropolitan State University of Denver,CO,
University of Northern Colorado,CO,
Western State Colorado University (WSCU),CO,
Central Connecticut State University (CCSU),CT,
Eastern Connecticut State University (ECSU),CT,
Southern Connecticut State University (SCSU),CT,
Western Connecticut State University (WCSU),CT,
University of Connecticut (UConn),CT,
UConn Avery Point Campus in Groton,CT,
UConn Graduate Business Campus in Hartford,CT,
UConn Greater Hartford Campus in West Hartford,CT,The campus will be moving to downtown Hartford in the fall of 2016
UConn Stamford Campus in Stamford,CT,
UConn Torrington Campus in Torrington,CT,
UConn Waterbury Campus in Waterbury,CT,
University of Delaware (UD),DE,
Delaware State University,DE,
University of the District of Columbia (UDC),DC,DC isn't a state
Florida A&M University (Florida A&M),FL,
Florida Atlantic University (FAU),FL,
Florida Gulf Coast University (FGCU),FL,
Florida International University (FIU),FL,"includes Intercontinental, Hult, Crown, and Richmond Universities abroad"
Florida Polytechnic University (Florida Poly or FPU),FL,
Florida State University (FSU),FL,
New College of Florida,FL,
University of Central Florida (UCF),FL,
University of Florida (UF),FL,
University of North Florida (UNF),FL,
University of South Florida (USF),FL,
University of West Florida (UWF),FL,
Abraham Baldwin Agricultural College,GA,
Albany State University,GA,
Armstrong State University,GA,
Atlanta Metropolitan State College,GA,
Augusta University,GA,
Bainbridge State College,GA,
Clayton State University,GA,
College of Coastal Georgia,GA,
Columbus State University,GA,
Dalton State College,GA,
East Georgia State College,GA,
Fort Valley State University,GA,
University of Georgia (UGA),GA,
