"Stage Name","Stage Date","Stage Category","General Classification Url","Points Classification Url","Stage Classification Url","Competition Date","Competition Name","Competition Result Page Url","Country","Class Code","getsum"
"Stage 4","30 Apr 2011","","","","","26 Apr-01 May 2011","Tour de Romandie","https://dataride.uci.ch/iframe/CompetitionResults/42702?disciplineId=10","SUI","2.UWT","1"
"Stage 5","01 May 2011","","","","","26 Apr-01 May 2011","Tour de Romandie","https://dataride.uci.ch/iframe/CompetitionResults/42702?disciplineId=10","SUI","2.UWT","1"
"Final Classification","01 May 2011","","https://dataride.uci.ch/iframe/EventResults/131479?competitionId=42702&disciplineId=10","","","26 Apr-01 May 2011","Tour de Romandie","https://dataride.uci.ch/iframe/CompetitionResults/42702?disciplineId=10","SUI","2.UWT","1"
"Final Classification","27 Mar 2011","","https://dataride.uci.ch/iframe/EventResults/132182?competitionId=42651&disciplineId=10","","","27-Mar-11","Gent - Wevelgem","https://dataride.uci.ch/iframe/CompetitionResults/42651?disciplineId=10","BEL","1.UWT","1"
"Prologue","03 Jun 2012","","","","","03 Jun-10 Jun 2012","Critérium du Dauphiné","https://dataride.uci.ch/iframe/CompetitionResults/42742?disciplineId=10","FRA","2.UWT","1"
"Stage 1","04 Jun 2012","","","","","03 Jun-10 Jun 2012","Critérium du Dauphiné","https://dataride.uci.ch/iframe/CompetitionResults/42742?disciplineId=10","FRA","2.UWT","1"
"Stage 2","05 Jun 2012","","","","","03 Jun-10 Jun 2012","Critérium du Dauphiné","https://dataride.uci.ch/iframe/CompetitionResults/42742?disciplineId=10","FRA","2.UWT","1"
"Stage 3","06 Jun 2012","","","","","03 Jun-10 Jun 2012","Critérium du Dauphiné","https://dataride.uci.ch/iframe/CompetitionResults/42742?disciplineId=10","FRA","2.UWT","1"
"Stage 4","07 Jun 2012","","","","","03 Jun-10 Jun 2012","Critérium du Dauphiné","https://dataride.uci.ch/iframe/CompetitionResults/42742?disciplineId=10","FRA","2.UWT","1"
"Stage 5","08 Jun 2012","","","","","03 Jun-10 Jun 2012","Critérium du Dauphiné","https://dataride.uci.ch/iframe/CompetitionResults/42742?disciplineId=10","FRA","2.UWT","1"
"Stage 6","09 Jun 2012","","","","","03 Jun-10 Jun 2012","Critérium du Dauphiné","https://dataride.uci.ch/iframe/CompetitionResults/42742?disciplineId=10","FRA","2.UWT","1"
"Stage 7","10 Jun 2012","","","","","03 Jun-10 Jun 2012","Critérium du Dauphiné","https://dataride.uci.ch/iframe/CompetitionResults/42742?disciplineId=10","FRA","2.UWT","1"
"Final Classification","10 Jun 2012","","https://dataride.uci.ch/iframe/EventResults/121329?competitionId=42742&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/121330?competitionId=42742&disciplineId=10","","03 Jun-10 Jun 2012","Critérium du Dauphiné","https://dataride.uci.ch/iframe/CompetitionResults/42742?disciplineId=10","FRA","2.UWT","1"
"Stage 1","08 Mar 2009","","","","","08 Mar-15 Mar 2009","Paris - Nice","https://dataride.uci.ch/iframe/CompetitionResults/44729?disciplineId=10","FRA","2.CH","1"
"Stage 2","09 Mar 2009","","","","","08 Mar-15 Mar 2009","Paris - Nice","https://dataride.uci.ch/iframe/CompetitionResults/44729?disciplineId=10","FRA","2.CH","1"
"Stage 3","10 Mar 2009","","","","","08 Mar-15 Mar 2009","Paris - Nice","https://dataride.uci.ch/iframe/CompetitionResults/44729?disciplineId=10","FRA","2.CH","1"
"Stage 4","11 Mar 2009","","","","","08 Mar-15 Mar 2009","Paris - Nice","https://dataride.uci.ch/iframe/CompetitionResults/44729?disciplineId=10","FRA","2.CH","1"
"Stage 5","12 Mar 2009","","","","","08 Mar-15 Mar 2009","Paris - Nice","https://dataride.uci.ch/iframe/CompetitionResults/44729?disciplineId=10","FRA","2.CH","1"
"Stage 6","13 Mar 2009","","","","","08 Mar-15 Mar 2009","Paris - Nice","https://dataride.uci.ch/iframe/CompetitionResults/44729?disciplineId=10","FRA","2.CH","1"
"Stage 7","14 Mar 2009","","","","","08 Mar-15 Mar 2009","Paris - Nice","https://dataride.uci.ch/iframe/CompetitionResults/44729?disciplineId=10","FRA","2.CH","1"
"Stage 8","15 Mar 2009","","","","","08 Mar-15 Mar 2009","Paris - Nice","https://dataride.uci.ch/iframe/CompetitionResults/44729?disciplineId=10","FRA","2.CH","1"
"Final Classification","15 Mar 2009","","https://dataride.uci.ch/iframe/EventResults/145103?competitionId=44729&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/145104?competitionId=44729&disciplineId=10","","08 Mar-15 Mar 2009","Paris - Nice","https://dataride.uci.ch/iframe/CompetitionResults/44729?disciplineId=10","FRA","2.CH","1"
"Final Classification","11 Sep 2011","","https://dataride.uci.ch/iframe/EventResults/125502?competitionId=45421&disciplineId=10","","","11-Sep-11","Grand Prix Cycliste de Montréal","https://dataride.uci.ch/iframe/CompetitionResults/45421?disciplineId=10","CAN","1.UWT","1"
"Stage 1","26 May 2010","","","","","26 May-30 May 2010","Tour de Belgique - Ronde van België - Tour of Belgium","https://dataride.uci.ch/iframe/CompetitionResults/44314?disciplineId=10","BEL","2.HC","1"
"Stage 2","27 May 2010","","","","","26 May-30 May 2010","Tour de Belgique - Ronde van België - Tour of Belgium","https://dataride.uci.ch/iframe/CompetitionResults/44314?disciplineId=10","BEL","2.HC","1"
"Stage 3","28 May 2010","","","","","26 May-30 May 2010","Tour de Belgique - Ronde van België - Tour of Belgium","https://dataride.uci.ch/iframe/CompetitionResults/44314?disciplineId=10","BEL","2.HC","1"
"Stage 4","29 May 2010","","","","","26 May-30 May 2010","Tour de Belgique - Ronde van België - Tour of Belgium","https://dataride.uci.ch/iframe/CompetitionResults/44314?disciplineId=10","BEL","2.HC","1"
"Stage 5","30 May 2010","","","","","26 May-30 May 2010","Tour de Belgique - Ronde van België - Tour of Belgium","https://dataride.uci.ch/iframe/CompetitionResults/44314?disciplineId=10","BEL","2.HC","1"
"Final Classification","30 May 2010","","https://dataride.uci.ch/iframe/EventResults/136922?competitionId=44314&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/136925?competitionId=44314&disciplineId=10","","26 May-30 May 2010","Tour de Belgique - Ronde van België - Tour of Belgium","https://dataride.uci.ch/iframe/CompetitionResults/44314?disciplineId=10","BEL","2.HC","1"
"Stage 1","23 Jul 2011","","","","","23 Jul-27 Jul 2011","Tour de Wallonie","https://dataride.uci.ch/iframe/CompetitionResults/43255?disciplineId=10","BEL","2.HC","1"
"Stage 2","24 Jul 2011","","","","","23 Jul-27 Jul 2011","Tour de Wallonie","https://dataride.uci.ch/iframe/CompetitionResults/43255?disciplineId=10","BEL","2.HC","1"
"Stage 3","25 Jul 2011","","","","","23 Jul-27 Jul 2011","Tour de Wallonie","https://dataride.uci.ch/iframe/CompetitionResults/43255?disciplineId=10","BEL","2.HC","1"
"Stage 4","26 Jul 2011","","","","","23 Jul-27 Jul 2011","Tour de Wallonie","https://dataride.uci.ch/iframe/CompetitionResults/43255?disciplineId=10","BEL","2.HC","1"
"Stage 5","27 Jul 2011","","","","","23 Jul-27 Jul 2011","Tour de Wallonie","https://dataride.uci.ch/iframe/CompetitionResults/43255?disciplineId=10","BEL","2.HC","1"
"Final Classification","27 Jul 2011","","https://dataride.uci.ch/iframe/EventResults/126808?competitionId=43255&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/126813?competitionId=43255&disciplineId=10","","23 Jul-27 Jul 2011","Tour de Wallonie","https://dataride.uci.ch/iframe/CompetitionResults/43255?disciplineId=10","BEL","2.HC","1"
"Stage 1","16 May 2010","","","","","16 May-23 May 2010","Amgen Tour of California","https://dataride.uci.ch/iframe/CompetitionResults/43803?disciplineId=10","USA","2.HC","1"
"Stage 2","17 May 2010","","","","","16 May-23 May 2010","Amgen Tour of California","https://dataride.uci.ch/iframe/CompetitionResults/43803?disciplineId=10","USA","2.HC","1"
"Stage 3","18 May 2010","","","","","16 May-23 May 2010","Amgen Tour of California","https://dataride.uci.ch/iframe/CompetitionResults/43803?disciplineId=10","USA","2.HC","1"
"Stage 4","19 May 2010","","","","","16 May-23 May 2010","Amgen Tour of California","https://dataride.uci.ch/iframe/CompetitionResults/43803?disciplineId=10","USA","2.HC","1"
"Stage 5","20 May 2010","","","","","16 May-23 May 2010","Amgen Tour of California","https://dataride.uci.ch/iframe/CompetitionResults/43803?disciplineId=10","USA","2.HC","1"
"Stage 6","21 May 2010","","","","","16 May-23 May 2010","Amgen Tour of California","https://dataride.uci.ch/iframe/CompetitionResults/43803?disciplineId=10","USA","2.HC","1"
"Stage 7","22 May 2010","","","","","16 May-23 May 2010","Amgen Tour of California","https://dataride.uci.ch/iframe/CompetitionResults/43803?disciplineId=10","USA","2.HC","1"
"Stage 8","23 May 2010","","","","","16 May-23 May 2010","Amgen Tour of California","https://dataride.uci.ch/iframe/CompetitionResults/43803?disciplineId=10","USA","2.HC","1"
"Final Classification","23 May 2010","","https://dataride.uci.ch/iframe/EventResults/137156?competitionId=43803&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/137159?competitionId=43803&disciplineId=10","","16 May-23 May 2010","Amgen Tour of California","https://dataride.uci.ch/iframe/CompetitionResults/43803?disciplineId=10","USA","2.HC","1"
"Final Classification","18 Apr 2009","","https://dataride.uci.ch/iframe/EventResults/144487?competitionId=44146&disciplineId=10","","","18-Apr-09","Liège - Bastogne - Liège","https://dataride.uci.ch/iframe/CompetitionResults/44146?disciplineId=10","BEL","1.2U","1"
"Stage 1","25 May 2011","","","","","25 May-29 May 2011","Tour de Belgique - Ronde van België - Tour of Belgium","https://dataride.uci.ch/iframe/CompetitionResults/44320?disciplineId=10","BEL","2.HC","1"
