date,competition,url,country,class,getsum
9-Jun-09,Durango-Durango Emakumeen Saria,/iframe/CompetitionResults/44123?disciplineId=10,ESP,1.2,0
7-Jun-09,"GP du canton d'Argovie, Gippingen",/iframe/CompetitionResults/42806?disciplineId=10,SUI,1.HC,0
07 Jun-13 Jun 2009,Internationale Thüringen-Rundfahrt U23,/iframe/CompetitionResults/43332?disciplineId=10,GER,2.2U,0
7-Jun-09,Memorial Ph. Van Coningsloo,/iframe/CompetitionResults/43523?disciplineId=10,BEL,1.2,0
7-Jun-09,Coppa della Pace - Trofeo F.lli Anelli,/iframe/CompetitionResults/43529?disciplineId=10,ITA,1.2,0
7-Jun-09,Coppa Colli Briantei Internazionale,/iframe/CompetitionResults/43733?disciplineId=10,ITA,1.2,0
7-Jun-09,Liberty Classic,/iframe/CompetitionResults/43911?disciplineId=10,USA,1.1,0
7-Jun-09,Philadelphia International Championship,/iframe/CompetitionResults/43946?disciplineId=10,USA,1.HC,0
7-Jun-09,GP Dell'Arno,/iframe/CompetitionResults/44266?disciplineId=10,ITA,1.1,0
07 Jun-11 Jun 2009,Tour de Pei,/iframe/CompetitionResults/44810?disciplineId=10,CAN,2.2,0
7-Jun-09,Therme kasseienomloop,/iframe/CompetitionResults/45084?disciplineId=10,NED,1.2,0
6-Jun-09,GP Triberg-Schwarzwald,/iframe/CompetitionResults/44312?disciplineId=10,GER,1.1,0
6-Jun-09,Memorial Marco Pantani,/iframe/CompetitionResults/44695?disciplineId=10,ITA,1.1,0
6-Jun-09,Piccola Tre  Valli Varesine,/iframe/CompetitionResults/45051?disciplineId=10,ITA,1.1,0
06 Jun-13 Jun 2009,Romanian Cycling Tour,/iframe/CompetitionResults/45130?disciplineId=10,ROU,2.2,0
05 Jun-14 Jun 2009,Tour de Korea,/iframe/CompetitionResults/44126?disciplineId=10,KOR,2.2,0
05 Jun-07 Jun 2009,Sparkassen Münsterland Tour,/iframe/CompetitionResults/44209?disciplineId=10,GER,2.1,0
04 Jun-07 Jun 2009,Tour du Pays de Vaud,/iframe/CompetitionResults/43861?disciplineId=10,SUI,2.1,0
04 Jun-07 Jun 2009,Coupe des nations Ville Saguenay,/iframe/CompetitionResults/45103?disciplineId=10,CAN,2.Ncup,0
03 Jun-07 Jun 2009,Skoda-Tour de Luxembourg,/iframe/CompetitionResults/42747?disciplineId=10,LUX,2.HC,1
03 Jun-07 Jun 2009,Ringerike GP,/iframe/CompetitionResults/44006?disciplineId=10,NOR,2.2,0
03 Jun-07 Jun 2009,Volta Ciclistica internacional do Paraná,/iframe/CompetitionResults/44452?disciplineId=10,BRA,2.2,0
2-Jun-09,Trofeo Alcide Degasperi,/iframe/CompetitionResults/43507?disciplineId=10,ITA,1.2,0
02 Jun-07 Jun 2009,Baltyk Karkonosze Tour,/iframe/CompetitionResults/43691?disciplineId=10,POL,2.2,0
01 Jun-04 Jun 2009,Le Tour du Grand Montréal,/iframe/CompetitionResults/44327?disciplineId=10,CAN,2.1,0
1-Jun-09,Neuseenclassics -rund um die braunkohle-,/iframe/CompetitionResults/44471?disciplineId=10,GER,1.1,0
1-Jun-09,Rogaland GP,/iframe/CompetitionResults/45180?disciplineId=10,NOR,1.2,0
31-May-09,Paris-Roubaix Espoirs,/iframe/CompetitionResults/43511?disciplineId=10,FRA,1.2U,1
31-May-09,Boucles de l'Aulne,/iframe/CompetitionResults/43982?disciplineId=10,FRA,1.1,0
31-May-09,Tr. Città di San Vendemiano - GP Industria e Commercio,/iframe/CompetitionResults/45045?disciplineId=10,ITA,1.2U,1
31-May-09,U.S. Air Force Cycling Classic,/iframe/CompetitionResults/45049?disciplineId=10,USA,1.2,0
30-May-09,Grand Prix de Plumelec-Morbihan,/iframe/CompetitionResults/42755?disciplineId=10,FRA,1.1,0
30-May-09,VN Kranja - Memorijal Filipa Majcna,/iframe/CompetitionResults/43557?disciplineId=10,SLO,1.1,0
30-May-09,La Coupe du Monde Cycliste Féminine de Montréal,/iframe/CompetitionResults/43914?disciplineId=10,CAN,CDM,0
30-May-09,SEB Tartu Grand Prix,/iframe/CompetitionResults/44282?disciplineId=10,EST,1.1,0
30-May-09,GP Kooperativa,/iframe/CompetitionResults/44462?disciplineId=10,SVK,1.2,0
29 May-01 Jun 2009,Tour de Berlin,/iframe/CompetitionResults/43176?disciplineId=10,GER,2.2U,0
29 May-01 Jun 2009,Tour de Gironde,/iframe/CompetitionResults/43841?disciplineId=10,FRA,2.2,0
29-May-09,Tallinn-Tartu Grand Prix,/iframe/CompetitionResults/44297?disciplineId=10,EST,1.1,0
28 May-31 May 2009,Tour de Kumano,/iframe/CompetitionResults/45010?disciplineId=10,JPN,2.2,0
28 May-31 May 2009,Vuelta Ciclista Femenina a Costa Rica,/iframe/CompetitionResults/45213?disciplineId=10,CRC,2.2,0
27 May-31 May 2009,Bayern-Rundfahrt,/iframe/CompetitionResults/43207?disciplineId=10,GER,2.HC,1
27 May-31 May 2009,Tour de Belgique - Ronde van België - Tour of Belgium,/iframe/CompetitionResults/44315?disciplineId=10,BEL,2.HC,1
24-May-09,Trofeo Guido Dorigo - MO Cristiano Florianii - MO Ferramenta Mazzero,/iframe/CompetitionResults/43472?disciplineId=10,ITA,1.1,0
23-May-09,Klein-Brabant Classic Ruisbroek-Puurs,/iframe/CompetitionResults/45085?disciplineId=10,BEL,1.1,0
21 May-24 May 2009,Ronde de l'Isard,/iframe/CompetitionResults/43163?disciplineId=10,FRA,2.2U,0
21-May-09,Trofee der Vlaamse Ardennen,/iframe/CompetitionResults/44197?disciplineId=10,BEL,1.1,0
20 May-24 May 2009,Circuit de Lorraine Professionnel,/iframe/CompetitionResults/43127?disciplineId=10,FRA,2.1,0
20 May-24 May 2009,Flèche du Sud,/iframe/CompetitionResults/43182?disciplineId=10,LUX,2.2,0
17 May-24 May 2009,Tour of Japan,/iframe/CompetitionResults/43475?disciplineId=10,JPN,2.2,0
17-May-09,Tour de Rijke,/iframe/CompetitionResults/43767?disciplineId=10,NED,1.1,0
17 May-24 May 2009,FBD Insurance Ras,/iframe/CompetitionResults/44208?disciplineId=10,IRL,2.2,0
16-May-09,Dutch Food Valley Classic,/iframe/CompetitionResults/42988?disciplineId=10,NED,1.HC,0
16-May-09,GP Copenhagen - Odsherred Classic,/iframe/CompetitionResults/45091?disciplineId=10,DEN,1.2,0
15 May-17 May 2009,Tour de Picardie,/iframe/CompetitionResults/42727?disciplineId=10,FRA,2.1,0
